REF_AREA,date,HPI,HPI_RPI,RPI,iso2,hh_share,year,d_ptr,d_hp,d_rent,d_hh
JPN,1983-10-01,111.745802496796,146.954168951514,76.0411012839228,JP,33.01220295439949,1983,-0.2620272939584112,3.9106885827790094,4.172715876737598,0.4166295137556233
JPN,1984-10-01,114.988315297518,146.891553086838,78.2809304187186,JP,32.8732747804266,1984,-0.04261819106261555,2.8603845854159538,2.9030027764779476,-0.13892817397289292
JPN,1985-10-01,117.532988861211,145.779969781044,80.6233825356614,JP,32.160493827160494,1985,-0.7596151753340052,2.188853335271368,2.948468510605462,-0.7127809532661047
JPN,1986-10-01,121.590915033923,147.309767551247,82.5407998341486,JP,31.866825208085615,1986,1.0439203206693115,3.3943204403739102,2.35040011970451,-0.29366861907487873
JPN,1987-10-01,132.44489405304,155.042748375408,85.4245800236877,JP,32.444202504082746,1987,5.116324299567232,8.550441013017185,3.4341167134505746,0.5773772959971311
JPN,1988-10-01,138.820140325873,158.496237692819,87.5855803254247,JP,32.578947368421055,1988,2.202998121688271,4.7012475779507845,2.4982494562624247,0.1347448643383089
JPN,1989-10-01,153.442503118201,170.287128848947,90.1079152495351,JP,33.08457711442786,1989,7.1755149452542355,10.014678357898621,2.83916341264403,0.5056297460068038
JPN,1990-10-01,172.510159024512,186.56534428665,92.4661535475309,JP,32.93211362542128,1990,9.129554369396509,11.713020329543866,2.583465960147624,-0.15246348900657836
JPN,1991-10-01,172.248957818412,181.915278016785,94.6861632147505,JP,32.67086766844402,1991,-2.5240475935054185,-0.1515268158645,2.3725207776408297,-0.2612459569772625
JPN,1992-10-01,164.021578166465,168.051893961168,97.6015388872322,JP,32.31064237775648,1992,-7.926824896148599,-4.8942866119536355,3.032538284195052,-0.36022529068753784
JPN,1993-10-01,158.268458822177,158.570050753025,99.8095961935112,JP,32.162921348314605,1993,-5.807636806332361,-3.5705295706788043,2.237107235653557,-0.14772102944187537
JPN,1994-10-01,155.41988889058,152.643591153308,101.818597296279,JP,32.45948522402288,1994,-3.8090721897435564,-1.8162282765032955,1.9928439132403497,0.2965638757082729
JPN,1995-10-01,152.721324580304,147.517281980305,103.527534310878,JP,33.014354066985646,1995,-3.4160399486346193,-1.75155622428953,1.6644837243450006,0.5548688429627688
JPN,1996-10-01,150.103355359553,143.488182132323,104.610037390122,JP,33.36594911937378,1996,-2.769265755487371,-1.7290760089641921,1.040189746523179,0.3515950523881344
JPN,1997-10-01,148.096754862324,140.695953193359,105.259917803712,JP,33.613445378151255,1997,-1.9651475575025223,-1.345828331744059,0.6193192257585522,0.24749625877747405
JPN,1998-10-01,144.91526223343,138.556297339413,104.589225824936,JP,35.010162601626014,1998,-1.5324479732627516,-2.1716636029897707,-0.6392156297274632,1.3967172234747594
JPN,1999-10-01,139.86366449502,133.648589407236,104.650091842428,JP,36.18556701030928,1999,-3.6062833871970845,-3.548105010507019,0.05817837669068737,1.1754044086832636
JPN,2000-10-01,134.32107119913,128.394057870665,104.616048515854,JP,37.229437229437224,2000,-4.01097762310112,-4.043513538195143,-0.03253591509455589,1.043870219127946
JPN,2001-10-01,127.937203462108,122.643374961024,104.316222174765,JP,37.47917823431427,2001,-4.582335848256491,-4.869344213133253,-0.2870083648764954,0.24974100487704476
JPN,2002-10-01,120.665711241994,116.076464970927,103.953422898165,JP,37.641723356009074,2002,-5.503159871058116,-5.851554034249862,-0.34839416319147887,0.16254512169480506
JPN,2003-10-01,112.975899285501,108.917604193012,103.725805853681,JP,38.875739644970416,2003,-6.365748318684616,-6.584948993678452,-0.2192006749944575,1.2340162889613424
JPN,2004-10-01,106.562999231071,103.121412468027,103.337195924935,JP,39.4704433497537,2004,-5.468461567825411,-5.843816297228521,-0.3753547294031989,0.594703704783285
JPN,2005-10-01,102.04977651449,99.0342882325291,103.044677353637,JP,37.86945812807881,2005,-4.044091990703702,-4.327565304066372,-0.2834733133622258,-1.6009852216748897
JPN,2006-10-01,99.9845595158184,97.1530713454394,102.9142452429,JP,37.48451053283767,2006,-1.9178346163439386,-2.0444930067933242,-0.12665839044947447,-0.38494759524114386
JPN,2007-10-01,99.3596646729789,96.6082598375792,102.847786243597,JP,37.35091023226616,2007,-0.5623546662334888,-0.6269525914522234,-0.06459792521873453,-0.1336003005715085
JPN,2008-10-01,97.442,94.806592606421,102.779557028656,JP,36.31931748933577,2008,-1.8825294023232075,-1.948891410759579,-0.06636200843637141,-1.0315927429303855
JPN,2009-10-01,93.984,91.919567424429,102.245697832117,JP,36.82669789227166,2009,-3.092502157597732,-3.6132774186293126,-0.520775261031492,0.5073804029358868
JPN,2010-10-01,95.934,94.195313593976,101.845617805102,JP,37.46913580246914,2010,2.4456503282732633,2.053590001512884,-0.3920603267603795,0.6424379101974793
JPN,2011-10-01,95.027,93.6998933519168,101.416125006656,JP,37.80788177339901,2011,-0.5273379754463292,-0.9499393284642998,-0.42260135301797064,0.338745970929871
JPN,2012-10-01,94.766,93.8689946173491,100.955381386405,JP,37.97626483447845,2012,0.18030848620691486,-0.2750366604965748,-0.4553451467035785,0.1683830610794388
